#{"t_start": 1659292634.8480103, "env_id": "GripperPegInHole2DPyBulletEnv-v1"}
r,l,t
-5.374155,100,21.046543
-43.483905,100,45.028682
-125.029789,100,73.635606
-88.489192,100,101.789108
11.765871,100,135.03416
56.355211,100,168.586418
-33.88448,100,193.23519
19.034003,100,226.172532
75.119172,100,258.902358
53.578587,100,292.586234
-56.342039,100,327.589851
63.558057,100,360.766581
73.704785,100,397.060747
-45.967891,100,430.081084
-38.136251,100,461.683665
77.58957,100,496.868523
-65.228636,100,531.420812
-3.351928,100,570.64106
-3.590471,100,609.712702
79.771241,100,646.468031
-12.054835,100,682.398647
35.695323,100,713.688867
66.570554,100,745.707154
69.123679,100,778.817094
84.889175,100,812.587728
77.671815,100,848.142278
15.768913,100,885.743048
84.737176,100,921.00183
77.220195,100,955.261481
6.335328,100,989.062329
-2.357097,100,1025.060836
-96.757145,100,1059.324447
71.924642,100,1094.826776
81.584501,100,1129.790485
36.767913,100,1165.774626
10.793086,100,1200.559616
80.26041,100,1237.622189
82.136694,100,1272.461987
82.840259,100,1311.87006
73.756855,100,1349.113175
80.762328,100,1386.129886
83.830565,100,1427.671587
62.554588,100,1467.84728
83.751661,100,1506.641486
69.665645,100,1545.389114
69.40385,100,1587.855594
76.232491,100,1625.293217
84.838237,100,1662.900349
76.126529,100,1699.712873
26.366454,100,1736.689617
80.450542,100,1776.461586
76.395147,100,1815.770897
74.586509,100,1855.829798
57.206169,100,1896.215341
69.846139,100,1935.670768
87.049728,100,1975.500745
80.940492,100,2016.239542
69.26055,100,2058.913558
82.540204,100,2102.790058
51.597398,100,2145.231423
54.556461,100,2185.115132
63.12689,100,2224.941375
85.523534,100,2267.281688
71.830634,100,2309.272328
86.539224,100,2350.545056
-66.255212,100,2392.674093
82.76043,100,2435.926477
77.848139,100,2479.827953
69.1865,100,2523.111727
69.085339,100,2567.536763
78.471448,100,2612.005607
79.968555,100,2656.946736
61.226423,100,2703.50332
82.309891,100,2746.882361
71.275591,100,2789.403431
84.270974,100,2834.009788
74.710688,100,2878.857415
87.234963,100,2923.914447
77.082218,100,2969.072013
75.4675,100,3013.980751
83.819517,100,3058.344639
84.009106,100,3102.848536
86.811577,100,3147.25979
83.461025,100,3190.145697
77.839141,100,3237.313213
77.763399,100,3286.16751
75.204776,100,3335.690633
13.933418,100,3385.571594
79.137378,100,3434.386358
80.098897,100,3484.900319
-2.30466,100,3526.386181
68.227331,100,3572.621931
80.972242,100,3619.915243
81.663257,100,3667.527577
81.665224,100,3713.015385
74.220955,100,3762.812008
85.838316,100,3809.411093
84.935567,100,3857.678599
84.741925,100,3903.640798
78.92395,100,3948.322776
79.726136,100,3995.095552
65.869733,100,4044.27946
84.100807,100,4093.633471
81.837555,100,4146.220401
86.787426,100,4195.303396
74.754874,100,4245.423231
78.740551,100,4297.077786
79.514102,100,4347.238635
79.092044,100,4396.362962
79.010666,100,4443.635126
83.849888,100,4492.265495
78.42582,100,4540.14481
75.688232,100,4586.85327
81.192069,100,4636.782504
80.229659,100,4687.363314
85.251668,100,4737.450726
-68.971564,100,4789.054317
72.503388,100,4840.868402
-43.0508,100,4887.639507
-3.501972,100,4936.684042
-14.598823,100,4988.262305
-109.27112,100,5021.781.0577-144.157368,100,506777.967644-36.053631,100,51186.684451,-21.855541,100,5187.995223,155.588475,100,5282.213275,175.330388,100,5273.072333,175.761264,100,5380.273571,1-25.0286,100,53884.376933,61.619598,100,54477.69284861.990648,100,550584.59422877.782059,100,556483.624806.552636,100,5619.582.496532,100,5733.545011
88.541316,100,5789.567317
80.951051,100,5846.300967
86.649367,100,5901.533873
77.765401,100,5956.807594
74.71646,100,6012.563237
-3.152209,169.636599,100,6071.221892,100,6128.772533
76.034998,180.489593,100,656.31814,100,6242.795065
70.756667,100,6301.194022
76.403032,100,6358.628422
84.346646,100,6415.642994
82.311342,100,6473.429943
84.74959,100,6529.899704
88.179932,100,6588.404402
78.036954,100,6646.002795
78.452805,100,6706.423659
83.123084,100,6764.053026
73.404259,100,6822.161302
79.941314,100,6882.360265
75.477497,100,6940.581461
68.078105,100,7000.849364
86.077864,100,7058.169734
81.48028,100,7116.234107
86.960648,100,7174.061794
-101.416593,100,7232.58216
-26.848526,100,7295.788903
68.367048,100,7358.248644
74.260603,100,7420.471518
61.394202,100,7483.668731
76.01099,100,7547.396564
78.429063,100,7612.833158
71.89832,100,7676.647213
83.741863,100,7740.916076
72.602066,100,7802.184695
78.315577,100,7865.004501
86.554889,100,7926.549188
38.448626,100,7991.504312
84.259448,100,8055.213445
85.543001,100,8117.056562
77.279158,100,8177.617399
88.935129,100,8241.343588
84.426627,100,8303.877442
78.38749,100,8371.331113
73.961163,100,8440.182683
78.219591,100,8508.723069
76.263799,100,8575.587726
82.910222,100,8643.339801
81.018473,100,8707.987016
75.164002,100,8774.511859
71.988926,100,8843.010653
60.85968,100,8906.728246
84.14233,100,8971.864331
87.562158,100,9038.334846
88.701745,100,9104.785792
87.609006,100,9172.434814
78.527748,100,9240.300169
86.487442,100,9310.360807
69.287384,100,9379.528174
84.744131,100,9449.239716
